dbn,school_name
01M450,East Side Community School
01M539,"New Explorations into Science, Technology and Math"
01M696,Bard High School Early College
02M047,47 The American Sign Language and English Secondary School
02M260,The Clinton School
02M374,Gramercy Arts High School
02M376,NYC iSchool
02M407,Institute for Collaborative Education
02M408,Professional Performing Arts High School
02M411,Baruch College Campus High School
02M412,N.Y.C. Lab School for Collaborative Studies
02M413,School of the Future High School
02M414,N.Y.C. Museum School
02M416,Eleanor Roosevelt High School
02M418,Millennium High School
02M439,Manhattan Village Academy
02M519,Talent Unlimited High School
02M531,Repertory Company High School for Theatre Arts
02M542,Manhattan Bridges High School
02M545,High School for Dual Language and Asian Studies
02M600,The High School of Fashion Industries
02M605,Humanities Preparatory Academy
02M630,Art and Design High School
03M291,West End Secondary School
03M417,Frank McCourt High School
03M479,Beacon High School
03M541,Manhattan / Hunter Science High School
03M859,Special Music School
04M435,Manhattan Center for Science and Mathematics
04M495,Park East High School
04M555,Central Park East High School
04M610,Young Women's Leadership School
05M362,Columbia Secondary School
05M670,Thurgood Marshall Academy for Learning and Social Change
06M293,City College Academy of the Arts
07X495,University Heights Secondary School
07X500,Hostos-Lincoln Academy of Science
09X324,Bronx Early College Academy for Teaching & Learning
09X413,Bronx High School for Medical Science
09X568,Young Women's Leadership School of the Bronx
10X141,Riverdale / Kingsbridge Academy (M.S / High School 141)
10X225,Theatre Arts Production Company School
10X368,In-Tech Academy (M.S. / High School 368)
10X434,Belmont Preparatory High School
10X437,Fordham High School for the Arts
10X442,Celia Cruz Bronx High School of Music
12X478,The Cinema School
13K265,Dr. Susan S. McKinney Secondary School of the Arts
13K595,Bedford Academy High School
13K670,Benjamin Banneker Academy
14K614,Young Women's Leadership School of Brooklyn
15K429,Digital Arts and Cinema Technology High School
15K497,The Boerum Hill School for International Studies
15K656,Brooklyn High School of the Arts
15K684,Millennium Brooklyn High School
17K543,"Science, Technology and Research Early College High School"
17K590,Medgar Evers College Preparatory School
19K409,East New York Family Academy
21K468,Kingsborough Early College School
22K535,Leon M. Goldstein High School for the Sciences
22K555,Brooklyn College Academy
24Q299,Bard High School Early College Queens
24Q520,Middle College High School at LaGuardia Community College
24Q610,Aviation Career & Technical Education High School
25Q252,Queens School of Inquiry
25Q525,Townsend Harris High School
27Q323,Scholars' Academy
27Q650,"High School for Construction Trades, Engineering and Architecture"
28Q284,York Early College Academy
28Q680,Queens Gateway to Health Sciences Secondary School
28Q690,High School for Law Enforcement and Public Safety
28Q896,"Young Women's Leadership School, Queens"
30Q286,"Young Women's Leadership School, Astoria"
30Q501,Frank Sinatra School of the Arts High School
30Q580,Baccalaureate School for Global Education
