dbn, 4-Year Grad Rate, Avg Regents Completion, Avg Score: Algebra I (CC), Avg Score: English (CC), CCPCI (Advanced Courses), College Readiness Index (no CAT)
01M450,Average,,,Far Above Average,Far Above Average,Far Above Average
01M539,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
01M696,Far Above Average,Far Above Average,Above Average,Far Above Average,Far Above Average,Far Above Average
02M047,Average,Average,Average,Average,Average,Average
02M260,Average,Far Above Average,,Far Above Average,Above Average,Far Above Average
02M374,Average,Average,Average,Above Average,Average,Average
02M376,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Average,Far Above Average
02M407,Above Average,,,Above Average,Average,Far Above Average
02M408,Far Above Average,Above Average,Average,Far Above Average,Far Above Average,Above Average
02M411,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Above Average,Far Above Average
02M412,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
02M413,Above Average,,,Above Average,Far Above Average,Far Above Average
02M414,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
02M416,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
02M418,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
02M439,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
02M519,Above Average,Far Above Average,Above Average,Far Above Average,Far Above Average,Far Above Average
02M531,Far Above Average,Far Above Average,Above Average,Above Average,Far Above Average,Above Average
02M542,Above Average,Far Above Average,Above Average,Average,Far Above Average,Above Average
02M545,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
02M600,Average,Above Average,Average,Far Above Average,Above Average,Average
02M605,Above Average,,,Above Average,Average,Above Average
02M630,Average,Above Average,Far Above Average,Far Above Average,Far Above Average,Above Average
03M291,,,Far Above Average,,,
03M417,Far Above Average,Above Average,Average,Above Average,Average,Far Above Average
03M479,Far Above Average,,Far Below Average,Far Above Average,Above Average,Far Above Average
03M541,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
03M859,Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
04M435,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
04M495,Above Average,Far Above Average,Far Above Average,Above Average,Far Above Average,Far Above Average
04M555,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Above Average,Far Above Average
04M610,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Average,Far Above Average
05M362,Above Average,Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
05M670,Average,Average,Average,Average,Average,Average
06M293,Above Average,Far Above Average,Average,Average,Far Above Average,Far Above Average
07X495,Far Above Average,,,Above Average,Far Above Average,Far Above Average
07X500,Average,Above Average,Above Average,Average,Above Average,Above Average
09X324,Far Above Average,Above Average,Above Average,Average,Far Above Average,Above Average
09X413,Average,Average,Far Above Average,Average,Average,Average
09X568,Above Average,Average,Above Average,Far Above Average,Average,Above Average
10X141,Average,Above Average,Average,Far Above Average,Average,Above Average
10X225,Average,Below Average,Far Below Average,Average,Below Average,Average
10X368,Average,Average,Below Average,Average,Average,Average
10X434,Average,Average,Average,Average,Average,Average
10X437,Above Average,Far Above Average,Far Above Average,Average,Far Above Average,Average
10X442,Far Above Average,Above Average,Above Average,Above Average,Average,Average
12X478,Far Above Average,Above Average,Above Average,Above Average,Average,Average
13K265,Far Below Average,Below Average,Far Below Average,Average,Average,Far Below Average
13K595,Far Above Average,Above Average,Far Above Average,Far Above Average,Above Average,Far Above Average
13K670,Far Above Average,Average,Above Average,Average,Above Average,Far Above Average
14K614,Far Above Average,Average,Average,Average,Average,Average
15K429,Far Above Average,Above Average,Average,Average,Average,Average
15K497,Below Average,Below Average,Average,Below Average,Average,Below Average
15K656,Average,Average,Average,Average,Average,Average
15K684,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
17K543,Far Above Average,Average,Average,Average,Far Above Average,Far Above Average
17K590,Above Average,Above Average,Average,Far Above Average,Far Above Average,Far Above Average
19K409,Above Average,Average,Average,Average,Far Above Average,Average
21K468,Far Above Average,Far Above Average,Above Average,Far Above Average,Far Above Average,Far Above Average
22K535,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
22K555,Far Above Average,Far Above Average,Above Average,Far Above Average,Far Above Average,Far Above Average
24Q299,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
24Q520,Average,,,Average,Far Above Average,Above Average
24Q610,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
25Q252,Far Above Average,Average,Far Above Average,Above Average,Far Above Average,Far Above Average
25Q525,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
27Q323,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
27Q650,Far Above Average,Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
28Q284,Far Above Average,Far Above Average,Average,Far Above Average,Far Above Average,Far Above Average
28Q680,Above Average,Above Average,Average,Far Above Average,Far Above Average,Far Above Average
28Q690,Average,Average,Far Below Average,Average,Far Below Average,Average
28Q896,Far Above Average,Above Average,Average,Above Average,Above Average,Far Above Average
30Q286,Far Above Average,Above Average,Average,Above Average,Above Average,Far Above Average
30Q501,Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average,Far Above Average
30Q580,Far Above Average,Far Above Average,Above Average,Far Above Average,Far Above Average,Far Above Average
